"Subject","Target.RT.notono_invalida_congruent","Target.RT.notono_invalida_incongruent","Target.RT.notono_nocue_congruent","Target.RT.notono_nocue_incongruent","Target.RT.notono_valida_congruent","Target.RT.notono_valida_incongruent","Target.RT.tono_invalida_congruent","Target.RT.tono_invalida_incongruent","Target.RT.tono_nocue_congruent","Target.RT.tono_nocue_incongruent","Target.RT.tono_valida_congruent","Target.RT.tono_valida_incongruent","notono_RT","tono_RT","invalid_RT","nocue_RT","valid_RT","congruent_RT","incongruent_RT"
101,648.291666666667,694.083333333333,624.708333333333,657.636363636364,657.375,617.958333333333,669.375,719.333333333333,663.636363636364,662.375,628.958333333333,539.958333333333,649.901408450704,647.042253521127,682.770833333333,651.717391304348,611.0625,648.514084507042,648.429577464789
102,543.791666666667,640.363636363636,521.409090909091,594.173913043478,492.428571428571,519.95652173913,492.25,581.391304347826,587.166666666667,638.954545454545,515.75,538.521739130435,552.414814814815,557.85,562.634408602151,585.56043956044,517.186813186813,526.237410071942,584.764705882353
103,582,631.083333333333,681.318181818182,601.227272727273,571.791666666667,632.391304347826,641.458333333333,637.708333333333,588,636.75,581.5,601.208333333333,616.057971014493,614.4375,623.494736842105,626.195652173913,596.347368421053,606.815602836879,623.645390070922
104,658.428571428571,642.5,704.652173913043,696.291666666667,619.791666666667,626.833333333333,633.833333333333,628.708333333333,639.291666666667,600.541666666667,606.416666666667,605.086956521739,657.963768115942,619.076923076923,640.252747252747,659.726315789474,614.631578947368,642.985714285714,633.397163120567
105,686.652173913043,718.318181818182,760.590909090909,650.1,667.173913043478,687.95652173913,675.217391304348,727.173913043478,688.391304347826,707.25,651.6,695.04347826087,695.481203007519,691.764705882353,701.659340659341,702.719101123595,676.247191011236,688.55223880597,698.614814814815
107,658.75,697,605.260869565217,618.833333333333,750.739130434783,715.625,695.869565217391,749.608695652174,594.652173913043,629.545454545455,648.391304347826,637.636363636364,673.992857142857,659.661764705882,699.891304347826,611.95652173913,688.945652173913,658.942446043165,675.036496350365
108,546.125,608.652173913043,518.625,567.869565217391,564.25,574.208333333333,563.041666666667,601.5,498.583333333333,582.416666666667,500.958333333333,554.291666666667,562.93661971831,550.131944444444,579.526315789474,541.6,548.427083333333,531.930555555556,581.394366197183
109,538.571428571429,598.285714285714,546.565217391304,540.75,505.75,514.263157894737,534.130434782609,563.041666666667,493.454545454545,514.791666666667,523.608695652174,549.791666666667,540.393939393939,530.335714285714,558.112359550562,524.301075268817,523.855555555556,523.551470588235,546.882352941176
110,848.05,885.1,833.636363636364,942.625,838.368421052632,893.105263157895,702.130434782609,896.222222222222,848.2,795.227272727273,766.176470588235,831.263157894737,870.543103448276,803.016806722689,826.469135802469,848.5125,834.013513513514,804.694214876033,869.947368421053
112,557.583333333333,592.952380952381,512.541666666667,579.083333333333,477.916666666667,575.045454545455,542.291666666667,614.875,448.173913043478,508.913043478261,448.791666666667,524.75,547.870503597122,515.140845070423,576.408602150538,512.893617021277,505.170212765957,498.230769230769,565.630434782609
113,713.421052631579,833.238095238095,728.15,812.578947368421,800.590909090909,957.421052631579,712.52380952381,844.444444444444,751.380952380952,799.055555555556,777,804.157894736842,807.158333333333,779.04347826087,774.886075949367,771.333333333333,834.217948717949,747.595041322314,842.017543859649
121,727.086956521739,708.619047619048,728.571428571429,738.208333333333,724.583333333333,664.181818181818,721.458333333333,704.25,756.739130434783,697.208333333333,645.666666666667,649.782608695652,715.725925925926,696.827338129496,715.445652173913,729.945652173913,672.288888888889,718.323529411765,694.130434782609
122,524.458333333333,503.958333333333,472.478260869565,497.95652173913,447.25,488.5,466.458333333333,552.166666666667,427.541666666667,443.708333333333,403.583333333333,459.291666666667,489.154929577465,458.791666666667,511.760416666667,459.893617021277,449.65625,456.853146853147,490.881118881119
123,582.652173913043,588.434782608696,567.833333333333,560.173913043478,491.791666666667,514.545454545455,533.869565217391,599.130434782609,481.5,559.375,487,591.541666666667,550.863309352518,541.725352112676,576.021739130435,542.031578947368,521.36170212766,523.62676056338,569.352517985611
124,479.875,614.826086956522,494.04347826087,527.181818181818,457.375,502.125,503.791666666667,543.833333333333,443.875,510.5,486.583333333333,565.666666666667,511.764285714286,509.041666666667,534.747368421053,493.182795698925,502.9375,477.475524475524,543.758865248227
125,451.791666666667,526.333333333333,507.173913043478,527,447,496.571428571429,479.434782608696,565.625,494.772727272727,495.458333333333,449.130434782609,527.304347826087,492.784172661871,502.41726618705,506.073684210526,506.333333333333,479.633333333333,471.239130434783,523.585714285714
126,535.958333333333,591.478260869565,525.75,547.625,482.652173913043,533.458333333333,514.708333333333,573.666666666667,492.291666666667,567.208333333333,501.541666666667,551.083333333333,536.140845070423,533.416666666667,553.557894736842,533.21875,517.547368421053,509,560.538461538462
127,824.416666666667,844.772727272727,827.458333333333,844.217391304348,780.217391304348,830.173913043478,837.782608695652,807.913043478261,789.826086956522,791.833333333333,770.625,791.227272727273,825.079136690647,798.007194244604,828.5,813.255319148936,792.836956521739,805.106382978723,818.167883211679
128,463.318181818182,521.260869565217,516.625,479.608695652174,470.826086956522,519.565217391304,481.863636363636,528.541666666667,483.208333333333,482.041666666667,434.826086956522,488,495.586956521739,483.439716312057,499.648351648352,490.484210526316,478.408602150538,475.507246376812,503.09219858156
129,477.434782608696,550.04347826087,480.791666666667,505.791666666667,471.590909090909,489.260869565217,488.25,562.136363636364,495.916666666667,505.458333333333,449.541666666667,479.681818181818,495.956834532374,496.375,520.045454545455,496.989583333333,472.197802197802,477.014598540146,515.173913043478
130,564.35,696,660.190476190476,721.545454545455,589.380952380952,618.416666666667,598.454545454545,748.041666666667,606.083333333333,622.727272727273,559.565217391304,633.25,643.545454545455,629.014388489209,656.777777777778,651.505617977528,600.945652173913,596.259541984733,673.364285714286
131,497.875,630.136363636364,554.826086956522,580.181818181818,475.181818181818,517.636363636364,467.136363636364,551.375,491.791666666667,514.375,458.375,509.125,542.066666666667,499.140845070423,536.108695652174,534.118279569892,489.804347826087,490.971223021583,549.36231884058
132,617.095238095238,662.608695652174,680.869565217391,782.625,654.391304347826,683.652173913043,887.416666666667,742.565217391304,702.166666666667,703,746.818181818182,669.818181818182,681.875912408759,743.217391304348,731.604395604396,717.702127659574,688.233333333333,717.153284671533,708.195652173913
133,671.75,698.590909090909,652.434782608696,735.260869565217,675.25,642.227272727273,653.913043478261,762.958333333333,620.916666666667,702.291666666667,584.869565217391,571.090909090909,679.522388059701,650.885714285714,698.370786516854,677.382978723404,619.241758241758,642.63503649635,687.14598540146
134,582.695652173913,530.541666666667,502.136363636364,540.652173913043,502.75,508.875,540,591.375,458.875,536.583333333333,514.652173913043,524.166666666667,527.828571428571,527.612676056338,561.148936170213,509.387096774194,512.58947368421,516.438848920863,538.685314685315
135,740.9,781.142857142857,795,869.909090909091,789.25,825.583333333333,712.086956521739,910.652173913043,766.208333333333,830.5,740.833333333333,794.913043478261,801.5,792.248226950355,787.873563218391,814.451612903226,787.568421052632,757.913043478261,835.883211678832
136,589.545454545455,578.555555555556,602.454545454545,565.347826086957,578.952380952381,559.130434782609,588.681818181818,610.473684210526,500.95652173913,566.842105263158,477.363636363636,556.090909090909,578.751937984496,547.858267716535,591.777777777778,558.034482758621,542.659090909091,555.734848484848,571.612903225806
138,596.8,669.052631578947,559.904761904762,632.05,510.863636363636,642.157894736842,612.409090909091,651.478260869565,455.083333333333,643.652173913043,499.227272727273,625.545454545455,599.066115702479,580.352941176471,632.202380952381,569.602272727273,566.882352941176,536.725190839695,643.68253968254
139,698.782608695652,734.636363636364,693.333333333333,672,626.041666666667,619,631.95652173913,705.181818181818,595.227272727273,626.916666666667,613.478260869565,655,672.89552238806,637.573529411765,692.033333333333,645.602272727273,628.065217391304,642.625,667.768656716418
141,666.347826086957,633.333333333333,652.318181818182,638.333333333333,622.173913043478,665.833333333333,617.75,660.916666666667,565.041666666667,613.086956521739,574.95652173913,627.521739130435,646.335714285714,609.978723404255,644.357894736842,616.483870967742,623.086021505376,615.812949640288,640.112676056338
142,474.083333333333,557,467.583333333333,510.590909090909,444.217391304348,505.916666666667,506.086956521739,569.5,446.75,528.5,446.333333333333,492.875,493.333333333333,498.286713286713,526.884210526316,487.882978723404,472.631578947368,464.021126760563,527.633802816901
143,569.727272727273,647.333333333333,566.458333333333,631.380952380952,545.625,630.958333333333,581.25,686.125,536.208333333333,632.260869565217,519.041666666667,607.458333333333,598.287769784173,593.454545454545,622.202127659574,589.836956521739,575.770833333333,552.816901408451,639.471428571429
144,690.916666666667,663.833333333333,688.375,686.217391304348,699.416666666667,641.95652173913,696.166666666667,673.083333333333,656.304347826087,655.666666666667,603.75,627.041666666667,678.654929577465,651.972027972028,681,671.648936170213,643.052631578947,672.601398601399,657.880281690141
145,542.826086956522,608.347826086957,625.739130434783,568.695652173913,514.130434782609,564.217391304348,500.863636363636,551.04347826087,483.416666666667,536.333333333333,474.833333333333,562.125,570.659420289855,518.113475177305,551.318681318681,552.617021276596,528.606382978723,523.158273381295,564.9
146,523.565217391304,552.380952380952,535.333333333333,566.181818181818,457.409090909091,527.238095238095,491.333333333333,588.095238095238,493.809523809524,573.521739130435,478.217391304348,468.833333333333,526.924812030075,514.887218045113,538.488372093023,542.944444444444,482.066666666667,497.313432835821,544.856060606061
147,483.5,544.047619047619,508.590909090909,580.045454545455,612.681818181818,609.190476190476,553.608695652174,592.666666666667,476.772727272727,551.636363636364,503.826086956522,575.347826086957,554.931818181818,541.977611940299,541.662921348315,529.261363636364,574.078651685393,522.661764705882,575.338461538462
148,502.25,595.291666666667,548.291666666667,569.521739130435,492.391304347826,567.304347826087,537.304347826087,597.291666666667,558.260869565217,564.5,500.217391304348,539.708333333333,545.900709219858,549.921985815603,558.252631578947,560.063829787234,525.064516129032,523.15,572.323943661972
149,514.130434782609,543.727272727273,468.083333333333,492.652173913043,449.333333333333,488.347826086957,436.25,473.695652173913,417.791666666667,467.541666666667,404.625,447.458333333333,491.856115107914,441,490.782608695652,461.189473684211,447.010526315789,447.909090909091,484.748201438849
