"Subject","Target.ACC.notono_invalida_congruent","Target.ACC.notono_invalida_incongruent","Target.ACC.notono_nocue_congruent","Target.ACC.notono_nocue_incongruent","Target.ACC.notono_valida_congruent","Target.ACC.notono_valida_incongruent","Target.ACC.tono_invalida_congruent","Target.ACC.tono_invalida_incongruent","Target.ACC.tono_nocue_congruent","Target.ACC.tono_nocue_incongruent","Target.ACC.tono_valida_congruent","Target.ACC.tono_valida_incongruent","notono_ACC","tono_ACC","invalid_ACC","nocue_ACC","valid_ACC","congruent_ACC","incongruent_ACC"
101,0,0,0,8.33333333333334,0,0,0,0,8.33333333333334,0,0,0,1.38888888888888,1.38888888888888,0,4.16666666666666,0,1.38888888888888,1.38888888888888
102,0,8.33333333333334,8.33333333333334,4.16666666666666,12.5,4.16666666666666,0,4.16666666666666,0,8.33333333333334,0,0,6.25,2.08333333333334,3.125,5.20833333333334,4.16666666666666,3.47222222222222,4.86111111111112
103,4.16666666666666,0,8.33333333333334,8.33333333333334,0,4.16666666666666,0,0,0,0,0,0,4.16666666666666,0,1.04166666666666,4.16666666666666,1.04166666666666,2.08333333333334,2.08333333333334
104,12.5,8.33333333333334,4.16666666666666,0,0,0,0,0,0,0,0,4.16666666666666,4.16666666666666,0.694444444444442,5.20833333333334,1.04166666666666,1.04166666666666,2.77777777777778,2.08333333333334
105,4.16666666666666,8.33333333333334,8.33333333333334,16.6666666666667,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,0,16.6666666666667,4.16666666666666,7.63888888888888,5.55555555555556,5.20833333333334,7.29166666666666,7.29166666666666,6.94444444444444,6.25
107,0,8.33333333333334,4.16666666666666,0,4.16666666666666,0,4.16666666666666,0,4.16666666666666,8.33333333333334,4.16666666666666,8.33333333333334,2.77777777777778,4.86111111111112,3.125,4.16666666666666,4.16666666666666,3.47222222222222,4.16666666666666
108,0,4.16666666666666,0,4.16666666666666,0,0,0,0,0,0,0,0,1.38888888888888,0,1.04166666666666,1.04166666666666,0,0,1.38888888888888
109,12.5,12.5,4.16666666666666,0,0,20.8333333333333,4.16666666666666,0,8.33333333333334,0,4.16666666666666,0,8.33333333333334,2.77777777777778,7.29166666666666,3.125,6.25,5.55555555555556,5.55555555555556
110,16.6666666666667,16.6666666666667,8.33333333333334,25,16.6666666666667,16.6666666666667,4.16666666666666,20.8333333333333,8.33333333333334,8.33333333333334,8.33333333333334,16.6666666666667,16.6666666666667,11.1111111111111,14.5833333333333,12.5,14.5833333333333,10.4166666666667,17.3611111111111
112,0,12.5,0,0,0,8.33333333333334,0,0,4.16666666666666,4.16666666666666,0,0,3.47222222222222,1.38888888888888,3.125,2.08333333333334,2.08333333333334,0.694444444444442,4.16666666666666
113,16.6666666666667,12.5,12.5,20.8333333333333,8.33333333333334,16.6666666666667,12.5,16.6666666666667,12.5,20.8333333333333,25,20.8333333333333,14.5833333333333,18.0555555555556,14.5833333333333,16.6666666666667,17.7083333333333,14.5833333333333,18.0555555555556
121,4.16666666666666,12.5,8.33333333333334,0,0,8.33333333333334,0,0,4.16666666666666,0,8.33333333333334,4.16666666666666,5.55555555555556,2.77777777777778,4.16666666666666,3.125,5.20833333333334,4.16666666666666,4.16666666666666
122,0,0,4.16666666666666,4.16666666666666,0,0,0,0,0,0,0,0,1.38888888888888,0,0,2.08333333333334,0,0.694444444444442,0.694444444444442
123,4.16666666666666,4.16666666666666,0,4.16666666666666,0,8.33333333333334,4.16666666666666,4.16666666666666,0,0,0,0,3.47222222222222,1.38888888888888,4.16666666666666,1.04166666666666,2.08333333333334,1.38888888888888,3.47222222222222
124,0,4.16666666666666,4.16666666666666,8.33333333333334,0,0,0,0,0,0,0,0,2.77777777777778,0,1.04166666666666,3.125,0,0.694444444444442,2.08333333333334
125,0,0,4.16666666666666,0,4.16666666666666,12.5,4.16666666666666,0,8.33333333333334,0,4.16666666666666,4.16666666666666,3.47222222222222,3.47222222222222,1.04166666666666,3.125,6.25,4.16666666666666,2.77777777777778
126,0,4.16666666666666,0,0,4.16666666666666,0,0,0,0,0,0,0,1.38888888888888,0,1.04166666666666,0,1.04166666666666,0.694444444444442,0.694444444444442
127,0,0,0,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,0,0,8.33333333333334,2.08333333333334,3.47222222222222,2.08333333333334,2.08333333333334,4.16666666666666,2.08333333333334,3.47222222222222
128,8.33333333333334,4.16666666666666,0,4.16666666666666,4.16666666666666,4.16666666666666,8.33333333333334,0,0,0,4.16666666666666,0,4.16666666666666,2.08333333333334,5.20833333333334,1.04166666666666,3.125,4.16666666666666,2.08333333333334
129,4.16666666666666,4.16666666666666,0,0,8.33333333333334,4.16666666666666,16.6666666666667,8.33333333333334,0,0,0,8.33333333333334,3.47222222222222,5.55555555555556,8.33333333333334,0,5.20833333333334,4.86111111111112,4.16666666666666
130,16.6666666666667,0,8.33333333333334,8.33333333333334,12.5,0,8.33333333333334,0,0,8.33333333333334,4.16666666666666,0,7.63888888888888,3.47222222222222,6.25,6.25,4.16666666666666,8.33333333333334,2.77777777777778
131,0,8.33333333333334,4.16666666666666,8.33333333333334,8.33333333333334,8.33333333333334,8.33333333333334,0,0,0,0,0,6.25,1.38888888888888,4.16666666666666,3.125,4.16666666666666,3.47222222222222,4.16666666666666
132,8.33333333333334,0,4.16666666666666,0,0,4.16666666666666,0,4.16666666666666,0,4.16666666666666,8.33333333333334,4.16666666666666,2.77777777777778,3.47222222222222,3.125,2.08333333333334,4.16666666666666,3.47222222222222,2.77777777777778
133,16.6666666666667,8.33333333333334,0,4.16666666666666,0,8.33333333333334,4.16666666666666,0,0,0,4.16666666666666,8.33333333333334,6.25,2.77777777777778,7.29166666666666,1.04166666666666,5.20833333333334,4.16666666666666,4.86111111111112
134,4.16666666666666,0,8.33333333333334,4.16666666666666,0,0,4.16666666666666,0,0,0,4.16666666666666,0,2.77777777777778,1.38888888888888,2.08333333333334,3.125,1.04166666666666,3.47222222222222,0.694444444444442
135,16.6666666666667,12.5,4.16666666666666,4.16666666666666,0,0,4.16666666666666,0,0,0,0,4.16666666666666,6.25,1.38888888888888,8.33333333333334,2.08333333333334,1.04166666666666,4.16666666666666,3.47222222222222
136,8.33333333333334,25,8.33333333333334,4.16666666666666,12.5,4.16666666666666,8.33333333333334,20.8333333333333,4.16666666666666,20.8333333333333,8.33333333333334,8.33333333333334,10.4166666666667,11.8055555555556,15.625,9.375,8.33333333333334,8.33333333333334,13.8888888888889
138,16.6666666666667,20.8333333333333,12.5,16.6666666666667,8.33333333333334,20.8333333333333,8.33333333333334,4.16666666666666,0,4.16666666666666,8.33333333333334,8.33333333333334,15.9722222222222,5.55555555555556,12.5,8.33333333333334,11.4583333333333,9.02777777777778,12.5
139,4.16666666666666,8.33333333333334,12.5,12.5,0,4.16666666666666,4.16666666666666,8.33333333333334,8.33333333333334,0,4.16666666666666,8.33333333333334,6.94444444444444,5.55555555555556,6.25,8.33333333333334,4.16666666666666,5.55555555555556,6.94444444444444
141,4.16666666666666,0,8.33333333333334,0,4.16666666666666,0,0,0,0,4.16666666666666,4.16666666666666,4.16666666666666,2.77777777777778,2.08333333333334,1.04166666666666,3.125,3.125,3.47222222222222,1.38888888888888
142,0,0,0,8.33333333333334,4.16666666666666,0,4.16666666666666,0,0,0,0,0,2.08333333333334,0.694444444444442,1.04166666666666,2.08333333333334,1.04166666666666,1.38888888888888,1.38888888888888
143,8.33333333333334,0,0,12.5,0,0,0,0,0,4.16666666666666,0,0,3.47222222222222,0.694444444444442,2.08333333333334,4.16666666666666,0,1.38888888888888,2.77777777777778
144,0,0,0,4.16666666666666,0,4.16666666666666,0,0,4.16666666666666,0,0,0,1.38888888888888,0.694444444444442,0,2.08333333333334,1.04166666666666,0.694444444444442,1.38888888888888
145,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,8.33333333333334,4.16666666666666,0,0,0,0,4.16666666666666,2.08333333333334,5.20833333333334,2.08333333333334,2.08333333333334,3.47222222222222,2.77777777777778
146,4.16666666666666,12.5,0,8.33333333333334,8.33333333333334,12.5,12.5,12.5,12.5,4.16666666666666,4.16666666666666,0,7.63888888888888,7.63888888888888,10.4166666666667,6.25,6.25,6.94444444444444,8.33333333333334
147,0,12.5,8.33333333333334,8.33333333333334,4.16666666666666,12.5,4.16666666666666,12.5,8.33333333333334,8.33333333333334,4.16666666666666,4.16666666666666,7.63888888888888,6.94444444444444,7.29166666666666,8.33333333333334,6.25,4.86111111111112,9.72222222222222
148,0,0,0,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,0,4.16666666666666,0,4.16666666666666,0,2.08333333333334,2.08333333333334,1.04166666666666,2.08333333333334,3.125,2.77777777777778,1.38888888888888
149,4.16666666666666,8.33333333333334,0,4.16666666666666,0,4.16666666666666,0,4.16666666666666,0,0,0,0,3.47222222222222,0.694444444444442,4.16666666666666,1.04166666666666,1.04166666666666,0.694444444444442,3.47222222222222
150,4.16666666666666,29.1666666666667,8.33333333333334,20.8333333333333,0,20.8333333333333,8.33333333333334,12.5,4.16666666666666,0,12.5,4.16666666666666,13.8888888888889,6.94444444444444,13.5416666666667,8.33333333333334,9.375,6.25,14.5833333333333
151,0,8.33333333333334,0,4.16666666666666,12.5,0,0,0,4.16666666666666,0,0,0,4.16666666666666,0.694444444444442,2.08333333333334,2.08333333333334,3.125,2.77777777777778,2.08333333333334
152,12.5,4.16666666666666,8.33333333333334,8.33333333333334,4.16666666666666,16.6666666666667,4.16666666666666,0,4.16666666666666,8.33333333333334,0,4.16666666666666,9.02777777777778,3.47222222222222,5.20833333333334,7.29166666666666,6.25,5.55555555555556,6.94444444444444
153,8.33333333333334,12.5,0,8.33333333333334,12.5,0,4.16666666666666,0,4.16666666666666,4.16666666666666,0,0,6.94444444444444,2.08333333333334,6.25,4.16666666666666,3.125,4.86111111111112,4.16666666666666
154,0,4.16666666666666,0,0,0,16.6666666666667,0,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,3.47222222222222,3.47222222222222,2.08333333333334,2.08333333333334,6.25,1.38888888888888,5.55555555555556
