"Subject","Validity_GeneralTask","Validity_IDtrials","Overall_RT","Alerting_RT","Orienting_RT","Congruency_RT","Overall_ACC","Alerting_ACC","Orienting_ACC","Congruency_ACC","Hits_Percentage","FA_Percentage","Ap","Bp","Hits_Slope","FA_Slope","Ap_Slope","Bp_Slope","AV_Mean","AV_SD","AV_Lapses","AV_Mean_Slope","AV_SD_Slope","AV_Lapses_Slope","ID_zRT","Exploratory_ID_zRTsame","Exploratory_ID_zRTopposite","ID_PercentageErrors","Exploratory_PercentageErrorssame","Exploratory_PercentageErrorsopposite"
101,"Yes","Yes",648.471830985916,2.85915492957747,71.7083333333334,-0.0845070422535628,1.38888888888888,0,0,0,50,1.68067226890756,0.86445988651871,0.876001854673114,-1.78571428571429,0.609857978279031,-0.0107577119541774,-0.0460534807128843,514.552083333333,72.748864312592,13.5416666666667,6.58035714285711,9.1680406346308,0.0196428571428571,0.139446364765063,0.122804665504759,0.157600945776304,4.16666666666666,0,8.33333333333334
102,"Yes","Yes",555.181818181818,-5.43518518518522,45.4475954153373,58.5272958104105,4.16666666666666,4.16666666666666,-1.04166666666666,1.3888888888889,18.75,0.925925925925926,0.782630956501673,0.886408121288525,-7.85714285714286,-0.204081632653061,-0.0604895996860283,0.0134796873101381,564.479166666667,171.466920496524,28.125,8.39642857142851,-3.14155624514808,0.0160714285714285,0.0245888362148095,0.0238113236072265,0.0251719706704966,12.5,25,0
103,"Yes","Yes",615.230496453901,1.62047101449275,27.1473684210526,16.8297872340426,2.08333333333334,4.16666666666666,0,0,41.6666666666667,0.970873786407767,0.846911685386129,0.923896964531364,-1.78571428571429,0.714285714285714,-0.00960324919441465,-0.0462251957728276,492.645833333333,109.288414098386,6.25,7.67857142857137,3.91196173547705,0.0142857142857143,0.235588037885003,0.185770750988142,0.285405324781863,0,0,0
104,"Yes","Yes",638.174377224199,38.8868450390189,25.6211683053788,-9.5885511651469,2.43055555555556,3.47222222222222,4.16666666666667,-0.694444444444442,83.3333333333333,4.3859649122807,0.943264123611782,0.536170212765957,0.357142857142854,-0.0177462289263533,0.00186435652856451,-0.0180590137192866,543.739583333333,96.6353149778961,10.4166666666667,19.6696428571428,15.8031057193775,0.05,0.0168135693652323,-0.00936967632027257,0.0408148779102782,-8.33333333333334,-8.33333333333334,-8.33333333333334
105,"Yes","Yes",693.602230483271,3.71649712516592,25.4121496481047,10.0625760088446,6.59722222222222,2.08333333333333,-2.08333333333333,-0.694444444444442,88.5416666666667,8.47457627118644,0.94477355933742,0.133450750515188,0.892857142857137,-2.82407407407407,0.0115559169311748,0.134645531007058,560.791666666667,111.279346612281,31.25,19.2071428571429,10.4446202137001,0.075,-0.00518050743265901,0.0535775492716367,-0.069280205655527,-4.16666666666667,-8.33333333333334,0
106,"No","Yes",571.940397350993,35.0445770445771,12.8740573152338,121.158441558441,47.2222222222222,1.38888888888889,-1.04166666666666,90.2777777777778,61.4583333333333,0,0.903645833333333,1,-1.96428571428572,0,-0.00491071428571435,-7.76994260291725e-17,529.614583333333,114.222070850157,13.5416666666667,17.9017857142857,23.0055656004504,0.0553571428571429,-0.0730763291309762,-0.0444164267389273,-0.10460222176223,-8.33333333333333,-8.33333333333333,-8.33333333333333
107,"Yes","No",666.93115942029,14.3310924369748,10.9456521739131,16.0940503071995,3.81944444444444,-2.08333333333334,-1.04166666666666,0.694444444444442,83.3333333333333,3.57142857142857,0.946075837742504,0.60261651676206,-1.07142857142859,0.301511354142933,-0.00428444131506942,0.00239991298737115,522.5,69.2192550029101,13.5416666666667,8.18214285714284,12.9394809444586,0.0410714285714286,-0.0249893208030757,NA,-0.0249893208030757,83.3333333333333,91.6666666666667,75
108,"Yes","Yes",556.489510489511,12.8046752738654,31.0992324561403,49.4638106416276,0.694444444444442,1.38888888888888,1.04166666666666,1.38888888888888,77.0833333333333,1.69491525423729,0.936223523530837,0.827615987884409,1.42857142857143,1.42857142857143,-0.00100623582766441,-0.12897447380206,468.697916666667,60.2922915194527,2.08333333333333,-1.10535714285716,-4.39267408476715,0.00357142857142857,0.0133982356207949,-0.00691003001326167,0.035552707221584,4.16666666666666,0,8.33333333333334
109,"Yes","Yes",535.216911764706,10.0582251082251,34.2568039950062,23.3308823529412,5.55555555555556,5.55555555555556,1.04166666666666,0,73.9583333333333,8.33333333333333,0.900808258642766,0.432029043969342,-1.60714285714287,0.94767731654065,-0.00797606957225905,-0.0606874820031376,415.71875,98.2783054847171,2.08333333333333,18.6446428571428,8.94164409465915,0.0107142857142857,0.0328809505524045,0.029106827432609,0.0379131147121317,12.5,0,25
110,"Yes","Yes",836.348936170213,67.5262967255867,-7.54437771104438,65.2531535450196,13.8888888888889,5.55555555555555,0,6.94444444444445,84.375,11.2,0.922825513013013,0.139995962894297,-1.25,2.31281435651183,-0.00965856983819181,0.00518298384088982,581.5625,193.814985705983,35.4166666666667,23.5464285714285,-17.2240955982507,0.0321428571428571,0.0348379738464945,0.0443202120915221,0.0263039594259696,-12.5,-16.6666666666667,-8.33333333333334
