"Subject","DA_RT","DP_RT","Exploratory_Dopposite_RT","Exploratory_Dsame_RT","DA_PercentageErrors","DP_PercentageErrors","Exploratory_Dopposite_PercentageErrors","Exploratory_Dsame_PercentageErrors"
101,621.583333333333,708.260869565217,719.545454545455,697.916666666667,0,4.16666666666666,8.33333333333334,0
102,551.208333333333,564.761904761905,565.083333333333,564.333333333333,0,12.5,0,25
103,558.708333333333,690.333333333333,718.166666666667,662.5,0,0,0,0
104,640.363636363636,651.130434782609,666.5,634.363636363636,8.33333333333334,0,0,0
105,707.272727272727,703.608695652174,658.272727272727,745.166666666667,8.33333333333334,4.16666666666666,8.33333333333334,0
108,596.958333333333,604.95652173913,618.181818181818,592.833333333333,0,4.16666666666666,8.33333333333334,0
109,542.541666666667,560.380952380952,563.111111111111,558.333333333333,0,12.5,25,0
110,963.944444444444,997.526315789474,989.3,1006.66666666667,25,12.5,16.6666666666667,8.33333333333334
112,530.565217391304,537.434782608696,516.181818181818,556.916666666667,4.16666666666666,4.16666666666666,8.33333333333334,0
113,785.333333333333,862.8,901.2,824.4,12.5,12.5,8.33333333333334,16.6666666666667
121,692,743.833333333333,673.25,814.416666666667,4.16666666666666,0,0,0
123,601.083333333333,583.521739130435,547.818181818182,616.25,0,4.16666666666666,8.33333333333334,0
124,497.217391304348,525.291666666667,553.833333333333,496.75,4.16666666666666,0,0,0
125,507.260869565217,522.75,511,534.5,4.16666666666666,0,0,0
126,509.333333333333,560.333333333333,532.583333333333,588.083333333333,0,0,0,0
127,787.666666666667,787.458333333333,793.416666666667,781.5,0,0,0,0
128,493.04347826087,485.25,459.666666666667,510.833333333333,4.16666666666666,0,0,0
129,501.695652173913,516.826086956522,503.727272727273,528.833333333333,4.16666666666666,4.16666666666666,8.33333333333334,0
130,645.75,738.521739130435,751.454545454545,726.666666666667,0,4.16666666666666,8.33333333333334,0
131,522.782608695652,540.75,554.166666666667,527.333333333333,4.16666666666666,0,0,0
132,723.608695652174,731.695652173913,668.727272727273,789.416666666667,4.16666666666666,4.16666666666666,8.33333333333334,0
133,652.318181818182,762.190476190476,827.9,702.454545454545,8.33333333333334,12.5,16.6666666666667,8.33333333333334
135,780.090909090909,897.217391304348,926.166666666667,865.636363636364,8.33333333333334,4.16666666666666,0,8.33333333333334
