"iteration","AV_RT","AV_RT_Slope","AV_SD","AV_SD_Slope","AV_Lapsus","AV_Lapsus_Slope","n"
1,0.923609372443547,0.567816464563988,0.772156869465325,0.454710565971273,0.877991930263748,0.678294150531193,226
2,0.931476661513771,0.710006307706244,0.786054391654459,0.378173407734975,0.920370913018201,0.681538163342048,226
3,0.933586527501827,0.670611604525372,0.755937675097909,0.358085715872039,0.893199489965492,0.634724919296695,226
4,0.92614706964471,0.62531313867861,0.785516043364425,0.433788701606381,0.899748361315845,0.557028534999222,226
5,0.92971644539822,0.594503841634496,0.760450002715456,0.330262488998311,0.932585608309909,0.625658646153146,226
6,0.924503633632955,0.717177643329444,0.766035773281361,0.486486727918212,0.867767063478785,0.653055651957859,226
7,0.924883231608575,0.644445816427955,0.740767678955554,0.263264140724764,0.891443307816218,0.599641157612442,226
8,0.939915885758345,0.620255311024054,0.802801393629626,0.312318913558948,0.938113495783136,0.642311006188553,226
9,0.92279019289407,0.614251915618954,0.782478423026158,0.454854878998464,0.90378940180504,0.714881898042653,226
10,0.923378166935795,0.592386693479509,0.729237667471411,0.312340775378701,0.93520933249809,0.641268616281931,226
