"iteration","IDz_RT","IDzSame_RT","IDzOpposite_RT","n"
1,-0.00509713886022258,-0.113408258010235,0.0726286467001896,204
2,0.125771578960215,-0.0842123915820442,0.186766647914741,204
3,0.122885744617611,-0.0594962182117714,0.142645996987219,204
4,0.0995021424107838,-0.130491712275024,0.164397404329537,204
5,0.187303567861607,0.0398799969306014,0.20894012695301,204
6,0.132107806581337,-0.081533883946623,0.363318829798812,204
7,0.150593991319335,-0.0705216793253876,0.162237697529757,204
8,0.122961652329847,-0.0983500721933594,0.189605453485419,204
9,0.143118335709902,0.0405786962735055,0.127930438098239,204
10,0.108644686896238,0.00185021038305258,0.0373367688728987,204
11,0.175493033629725,0.000934939970139805,0.170190741260857,204
12,0.0719337099734822,-0.0895743167693407,0.196579939418635,204
13,0.187001870995628,-0.0755285343661511,0.281142808453044,204
14,0.152305275604429,0.0017104056422416,0.0548579758409188,204
15,0.0316729248790439,-0.12646418353032,0.077919631156131,204
16,0.0860037200202319,-0.03878109374738,0.201182363427212,204
17,0.18081958383868,-0.0215250184626468,0.232696827079327,204
18,0.220184058615401,0.128296173794076,0.128264879592226,204
19,0.0915830525733323,-0.0566668530407964,0.185853073327335,204
20,-0.0201494168718334,-0.0889507141612909,0.0960547650866078,204
21,0.178291736636752,0.011567948702914,0.114585189226537,204
22,0.0695801097509305,-0.0546991140738962,0.145376365046448,204
23,0.167639106231833,0.0616466746633173,0.124191362718126,204
24,0.0338132857617953,-0.0315467619882812,0.0748820025757016,204
25,-0.0158494390406534,-0.131860479725717,0.0938817086629426,204
26,0.235858901243601,-0.0137352541925158,0.261092889175669,204
27,0.14639783693628,0.0624787852026004,0.104963983311904,204
28,0.266092905781115,-0.0257963128447644,0.264293071455288,204
29,0.11271201797482,-0.0732295845157395,0.219362081702617,204
30,0.19748598538802,0.0213870988486588,0.157644189187013,204
31,0.137111839062301,-0.111048353489404,0.194594767690113,204
32,0.0630007730853276,0.0364984173736254,0.0792938272945891,204
33,0.129728637429669,-0.00699096103429374,0.135727116553264,204
34,0.0813285077506821,-0.0722470392779894,0.179494708891644,204
35,0.2552008456706,0.0577884284937417,0.193181327261005,204
36,0.100793999932387,-0.0404676794209839,0.0946065189658644,204
37,0.147205620159593,-0.12817640517136,0.359149784779491,204
38,0.156170117690412,0.0687915311928846,0.156547559163599,204
39,0.147676519324909,-0.0456724722826675,0.193921459435153,204
40,-0.0413672496310503,-0.10564762121553,0.0420938001064423,204
41,0.130320790138114,-0.123691625705423,0.260037067619103,204
