"iteration","overall_RT","alerting_RT","orienting_RT","congruency_RT","n"
1,0.986276695575963,0.286248153999488,0.188461912834864,0.562095977651824,226
2,0.985796967950912,0.258247663485645,0.322778557865283,0.445267359995864,226
3,0.981290595320054,0.326397446460023,0.16285989680617,0.508885750827734,226
4,0.983389756015017,0.359249955251323,0.195441862100167,0.525281868133581,226
5,0.985236180683626,0.364214756354041,0.156650175185825,0.461110132208142,226
6,0.981913756763341,0.353700478029036,0.188064183979222,0.398100404771578,226
7,0.98559882182415,0.281407142086677,0.280074123308924,0.453266263550893,226
8,0.988890482821509,0.223036410763524,0.123514324096971,0.448905695280484,226
9,0.98751010123962,0.388620395939754,0.232125948152986,0.493822629872151,226
10,0.986708039967641,0.345806671565375,0.156920256951999,0.625414726086287,226
11,0.986874184772589,0.235413124459528,0.280605333594594,0.559575154566244,226
12,0.988120916781979,0.324591329638918,0.180285690203134,0.499181045867733,226
13,0.983213970139639,0.282619646040678,0.2793775177373,0.56695004506238,226
14,0.988414125026399,0.230084071231959,0.274286505190598,0.443504820722719,226
15,0.989814458646376,0.356665004568756,0.20702420033897,0.376319036106178,226
16,0.982964461026656,0.456963156233404,0.280705671706497,0.59486696011597,226
17,0.984785598443057,0.237083387492171,0.228021781165856,0.516626034364276,226
18,0.98531530954842,0.378868507364434,0.240053643558837,0.536778372535778,226
19,0.983760443481066,0.164197986908036,0.215752009907277,0.473663323183751,226
20,0.987160124597948,0.336207715999507,0.276092628998678,0.567384223102111,226
21,0.981889623535843,0.433231825030858,0.139755067587934,0.389972480585111,226
22,0.987859977087004,0.320219065088243,0.300980361542451,0.574264034051312,226
23,0.980532070715247,0.389468301999544,0.180029901980036,0.4813281668366,226
24,0.985243333699949,0.250989756915933,0.208653797351718,0.456434878221766,226
25,0.986823873085799,0.33655124965298,0.189448570341086,0.562721122117377,226
26,0.989873184839825,0.413167482417513,0.253163912298954,0.537205487736716,226
27,0.980448747853918,0.475653052003111,0.223759909055242,0.527931164059957,226
28,0.984334355872318,0.432516346098774,0.225241537907568,0.405577182167006,226
29,0.984875860494078,0.344161174463356,0.0633864698874357,0.574979142305383,226
30,0.983042390219907,0.345065837390837,0.202088977208364,0.495205988258762,226
