"iteration","IDz_ACC","IDzSame_ACC","IDzOpposite_ACC","n"
1,0.028019922324647,0.0341506256499582,0.053124350420975,204
2,0.0878338678880542,0.0251359115521827,-0.0153447428497221,204
3,0.0877108981433315,0.170108644601052,-0.0336251464526359,204
4,-0.104056856217136,-0.0272282455104143,-0.162628165995677,204
5,-0.0109750313060103,0.0158645813891549,-0.0171655821077624,204
6,0.0139721185121516,0.0438075081359593,-0.00719794459749744,204
7,-0.0459936935379327,-0.00395632027078185,-0.0404758982090328,204
8,-0.0120940600446263,-0.0759566903370192,0.0462012056533042,204
9,-0.0123413153366591,-0.0731891305285919,0.0410978823222294,204
10,0.074655876241661,0.0451368476495331,0.0473760738959041,204
11,0.173280128436638,0.261285383069492,0.0477494843296243,204
12,0.0154922342718317,-0.0884743835496948,0.00585674261294787,204
13,0.191644359421681,0.202397417314764,0.109669080279733,204
14,0.0458717609421277,0.108364691391626,-0.0694748770240731,204
15,-0.0123424736172914,0.00294471614330847,-0.0652261543737946,204
16,-0.0277205569651465,-0.00130112924912444,-0.0307879434404418,204
17,0.085615881867638,0.0884430704870471,-0.0426028757282771,204
18,0.00981198550690184,0.0146041438269487,-0.0171929912715373,204
19,0.0301185589864746,-0.0259711441138424,0.0908318072313454,204
20,0.0217379598876553,0.0994194726150661,-0.00615251286289232,204
21,-0.104319348803898,-0.0551009783701433,-0.0742235223560175,204
22,-0.0994741058605532,-0.0725931216166203,-0.0897020190445637,204
23,0.0299631156345028,0.0803821611450776,-0.00570479906767959,204
24,-0.0684954049555929,-0.0747453939638658,-0.0987126590367466,204
25,0.0781278784992454,0.0995266662834594,-0.0230863991912548,204
26,0.0413290482209954,0.0597825872053997,0.00819194834582302,204
27,0.17668357872768,0.115603303761593,0.158472930161023,204
28,-0.0647658341111503,-0.00483863004295216,-0.168326869443544,204
29,-0.113040838835456,-0.0279364200165452,-0.134326099954251,204
30,-0.0377151378510009,0.076427032808992,-0.107080787972759,204
31,-0.141323742625593,-0.110555146443981,-0.0432822590883732,204
32,0.0296770545003221,0.0616657852677809,-0.0126641446631259,204
33,-0.019015124911395,-0.126775553879236,0.0246021045197895,204
34,-0.0707102504318625,-0.0528781050171035,-0.00870037810612261,204
35,0.135994141698333,0.0879940802861195,0.0452454907885536,204
36,0.0325878097673779,0.0379305323170963,0.0145305112543826,204
37,0.0136471349088557,-0.103705337161401,0.0557262067149411,204
38,-0.0109423810589904,-0.0114719706525232,-0.0396692378191972,204
39,-0.176195198893162,-0.0434681295978636,-0.245373388714962,204
40,-0.18402723850766,-0.0566230592719374,-0.124655616162547,204
41,0.0318084922069619,0.125507884232045,-0.115204001857741,204
42,0.17671061298668,0.134078579904426,0.16352949595852,204
43,0.0528418753149663,0.0826232845423225,-0.0103102136360713,204
44,-0.0377135674803306,-0.128574670892441,0.0138291454120243,204
45,-0.028747524031863,-0.0166189350531547,-0.121529226850105,204
46,0.12472693358587,0.0698531928838097,0.0358377509666465,204
47,0.0204488891547354,0.116146238276149,-0.0026565451209986,204
48,0.0572195070590748,-0.00696756747267864,0.0590227940217039,204
49,-0.00292332372947955,0.123615627653798,-0.0865864910525891,204
50,-0.0121747050157281,0.0313175540964882,0.02940137427132,204
51,0.171595951960526,0.08287986020922,0.0889566462495778,204
52,0.0855773880852617,0.0951541407511498,0.0356138829236829,204
53,0.0479635451181668,0.118536193799272,0.00973324398901616,204
54,0.139729569072808,-0.0105511877086463,0.203246712207877,204
55,-0.0499594172586183,-0.0784398409480842,-0.0179150918775779,204
56,-0.016087603670375,0.0127124921634467,-0.0468383784551911,204
57,-0.0503782953705682,0.115763015017247,-0.119699548464404,204
58,-0.0213569355990875,0.0128759177142098,-0.0278514825949169,204
59,0.0221445135658822,0.116339202834702,-0.0280194217592686,204
60,-0.119929902409951,-0.0432963874133388,-0.16187010091736,204
61,0.123835533246706,0.138266885334786,0.080943913688948,204
62,-0.041240778044753,-0.135994529983436,0.042938507767265,204
63,0.0216823015698086,0.0303952331348878,-0.00457949056458288,204
64,-0.159113464089038,-0.0596396022691839,-0.111546008535678,204
65,0.192963604091402,0.134685721434662,0.112779572228276,204
66,0.104837105854405,0.0580073410266132,0.0365683672391462,204
67,0.0151331995201524,0.0155059977659595,-0.0417454363842478,204
68,0.0714216831083208,0.00534027455127574,0.0823098155705843,204
69,-0.0842426602472484,0.0421312202931215,-0.159382564731595,204
70,0.0953616921075993,0.149925559206895,0.0527708334824753,204
71,0.0380394149893018,0.0564181025328238,-0.0177584265069259,204
72,-0.0278018574415446,0.0777500000000001,-0.0706273655908803,204
73,-0.00448167670453867,-0.00441201787504059,0.0044529283994383,204
74,0.0083577974708239,0.0311904099180432,-0.0712509626501154,204
75,0.0397021519540797,-0.00344553248964144,-0.0226182840534982,204
76,0.0745422329317366,0.0591279950465307,-0.0356564505921236,204
77,0.094123523972451,0.0205109735782334,0.103407400249063,204
78,0.102142856558129,0.0140814105392768,0.136465485268604,204
79,0.0775135026390791,0.0345960084810484,0.0114685882180533,204
80,-0.0411659000118068,-0.0757523515378623,-0.045527437302094,204
81,0.146606727642662,0.0903404327116253,0.131436553841746,204
82,0.168521982045784,0.0777293023962306,0.00795844241958997,204
83,-0.000160202213100019,-0.114900287799533,0.100857655324748,204
84,0.123465512888102,0.101929213611205,0.052143740310846,204
85,-0.0974106206884328,-0.0376438659789108,-0.114995479851527,204
86,0.00128355859538547,0.0699930594707765,-0.0959747015540537,204
87,-0.120230426598619,-0.049172286877389,-0.103581795696684,204
88,-0.0188701856095994,0.102431847923707,-0.0401539284480668,204
89,-0.0505890526246248,-0.130018663827419,-0.0903264846956938,204
90,0.206206216597981,0.0880766526415916,-0.0258855233156125,204
91,0.0130062851801583,-0.0165690772333498,-0.0184007069060394,204
92,0.0951231942311209,0.0178165754151614,-0.00740787345345266,204
93,-0.0242536091273019,-0.0497578823734851,-0.00518249169755968,204
94,-0.111685232041041,-0.00297643474457974,-0.172852753482581,204
95,0.0387548096076555,0.0554545280117584,0.0357661824311592,204
96,0.0865309393576584,0.0761515430584292,0.0904822241702129,204
97,0.0209503469049553,-0.00272030909182489,0.00245840626526704,204
98,-0.0213549616484013,-0.021824191518236,0.0274225869442063,204
99,0.0129934663625614,-0.0144206168261009,0.0831798298868769,204
100,0.0136471349088555,-0.0102625613900312,-0.0533528806085983,204
101,0.108784869802025,0.0566968676181412,0.0415051118314034,204
102,0.0948219118286602,0.0532173552003325,0.0536686465233665,204
103,0.0891147512777718,0.107570289616729,0.0429336713310408,204
104,0.0875705612653914,0.0362594778856549,-0.027308399170568,204
105,0.0604516404807926,0.20146697356385,-0.114725580131431,204
106,0.158530875597957,0.189406632234081,0.0742222188578503,204
107,-0.163767896735692,-0.115214861235709,-0.15169940447255,204
108,0.0475811520654074,0.118014912491968,0.0189961032259472,204
109,0.00402182991285669,0.0365595742714641,-0.0119475469827159,204
110,0.0300328593664407,0.0822700604964161,-0.0653702942991046,204
111,0.307452647258888,0.0614504306699243,0.102176540028565,204
112,0.0483688586220236,-0.145907843064249,0.211662947750244,204
113,0.0240244366196412,-0.0225307568048209,-0.0170238499375853,204
114,0.0607851343430942,0.0068079181844314,0.1267377194587,204
115,-0.091684832108691,0.00600944745870173,-0.063951932014835,204
116,0.164733514484877,0.0254389238944217,0.102572460640516,204
117,-0.160147304405616,-0.121475595808095,-0.126305971968341,204
118,0.0394685618772343,-0.0487458281868773,0.0843428791608834,204
119,0.136970299313619,-0.0278218459022471,0.155828349259681,204
120,0.06873025838608,0.0140838024648729,-0.11739375412583,204
121,-0.00445331947305106,0.0272760018571188,-0.0606025030006954,204
122,-0.147295000223461,-0.119319296449636,-0.041051775230535,204
123,0.138252674035335,-0.0348663374278365,0.17577092262597,204
124,-0.163525514001255,-0.0678992283309791,-0.136177414750696,204
125,0.10710805591293,-0.00476749427366996,0.109755921701132,204
126,0.0922713043336356,0.0626062151063028,0.0926701701853881,204
127,-0.0161256704205279,0.00085093225581187,0.0249870644098256,204
128,0.00614484086981077,-0.0478209591669477,0.0515554897586131,204
129,0.124811643626461,0.0426080837084654,0.0935784345546584,204
130,0.0600185950244761,0.167185477052171,0.00915557326330905,204
131,-0.0872426558844721,0.0617791891601888,-0.152811918950677,204
132,0.135692395084456,0.104526962862262,0.0812191114810885,204
133,0.0265309171506921,-0.00305136807250415,0.0404892842855061,204
134,0.0290260840637291,0.0682479459214579,-0.0579599387958272,204
135,-0.0199636351641601,0.0153925179879886,-0.0421764660742243,204
136,-0.0419120373470976,-0.159131642705722,0.0973570994171423,204
137,-0.119166645591522,-0.146927678431842,-0.0327488677809718,204
138,0.116004744367821,0.071697546206068,-0.0279282037938403,204
139,0.013706267934593,0.061553463336258,-0.0919741779306231,204
140,0.142296469225856,0.0177478880529828,0.200140911823721,204
141,-0.0861208642576799,-0.19149714236504,-0.00658966263321261,204
142,0.0130040202260558,0.0257543228767246,-0.06147727463063,204
143,0.0296770545003221,0.102162587936699,-0.0952970440116614,204
144,0.056523113345646,0.055035196619511,0.0425683740916794,204
145,0.0760474824732935,0.0626965023405345,-0.0217752612989472,204
146,-0.0266719802478494,-0.0157402182457009,-0.100271014564555,204
147,0.0126811089064826,0.0116503955538571,-0.0603418542355287,204
148,0.000968552984650949,0.132043740201409,-0.0540793080208703,204
149,-0.0816533163705377,-0.131467571647617,-0.0541930587160998,204
150,-0.0429309585318502,0.0489900963980464,-0.102420919871799,204
151,0.16130899513521,0.16896032344669,0.134083083777628,204
152,-0.215887985920648,-0.0409730165314711,-0.227315296306372,204
153,0.0760869565217391,0.12347797094244,0.0294434061839465,204
154,0.0628749316306206,0.0370367137001389,0.0587560604373656,204
155,0.160092564244921,0.111152969437097,0.00276533120551727,204
156,0.0300473803840349,0.0623916042306358,-0.0227624011616968,204
157,0.0294087976922698,-0.0153663893658637,0.0468191557394946,204
158,0.0321572523216617,0.0174730523916196,-0.0900408460556557,204
159,0.0727872100017198,0.115377903586383,0.106577757685353,204
160,0.101382805195004,0.11110908693455,-0.0839932708114895,204
161,0.0676126214339174,0.141269464796752,-0.0428913101261828,204
162,0.0382562650774744,-0.078359614779041,0.106653080891044,204
163,0.0209957047199705,0.131797284417168,-0.129422374846761,204
164,0.00531489350428636,-0.0222286821023812,-0.0822878300442661,204
165,-0.127205441968079,-0.0378810968937791,-0.100502113583527,204
166,0.0215444458799757,-0.00568311583368956,-0.0892379876483931,204
167,0.0936005389657681,0.0740523743843465,0.0453716370648,204
168,-0.0860918325714368,-0.115101767548351,-0.0853647458431739,204
169,0.0476668002571027,0.0556258183213703,-0.00373891040057719,204
170,-0.105541474341403,0.00783217860344905,-0.224494901843881,204
171,0.0204488891547355,-0.0688134264136518,0.0724689697474252,204
172,0.023949397190195,-0.0381127644347599,0.0630157182711235,204
173,0.0664454509738592,-0.0422586260778918,0.0363677252509962,204
174,0.159932803933992,0.116703787867381,0.0852674357040112,204
175,0.0500684998853343,0.0730485327156824,0.00829106534268241,204
176,-0.119002390618534,-0.126786622781626,-0.074359608009136,204
177,0.00670493178888292,0.0527738668880655,-0.0108318112394545,204
178,0.02496412680875,-0.00289069544318984,0.0302837532782993,204
179,0.106369376887834,0.0187071768964411,0.0493251594377081,204
180,0.0545677454145595,0.00692272039167633,0.0917326894298832,204
181,0.024151894144858,-0.0603969440177208,-0.00805720440268356,204
182,-0.0120614622376241,0.0035836945053389,0.0302444581414139,204
183,-0.0712314977296753,-0.0113001016186241,-0.0681045692777307,204
184,-0.0662520917459156,-0.103025978127246,-0.152704899002783,204
185,0.0127159707713339,-0.0183379558097251,0.0155906621275743,204
186,-0.131262116332202,-0.0836168416846752,-0.112593156696627,204
187,0.0743910426178947,-0.0648952659357777,0.0768255836237846,204
188,-0.0111661090007587,0.00793864637879772,-0.0177491492600605,204
189,0.0494097284932143,0.122268185310295,-0.0232059382513203,204
190,0.12886399763479,0.0343519113389509,0.100707251257843,204
191,-0.00814652124133649,-0.108740224453348,0.121093175416941,204
192,0.145595121525266,0.0847706541009642,0.0079250613046439,204
193,-0.0755684303216733,-0.0993095034352584,0.00929335073690268,204
194,-0.056113726047245,-0.00378818587836448,-0.0138907045393694,204
195,-0.0118817682791522,0.0712546653888768,-0.0912870175587366,204
196,-0.0793137372487763,-0.0470110255128603,-0.0658553834246586,204
197,-0.0239242826565313,-0.0401159569146985,-0.0407605710650956,204
198,-0.0653484770339086,-0.0182508114150758,-0.0324500011403126,204
199,0.0212678991413604,-0.0503978591227172,0.00441342244271778,204
200,0.0144693434462624,0.134581293213053,-0.13607326998655,204
201,0.0128350526324807,0.00641627454446526,-0.116590778580707,204
202,-0.159206410572466,-0.133159505413264,-0.130088964482942,204
203,0.0506524462294405,-0.0425578077831371,-0.0158590696418114,204
204,0.123835533246706,0.104355172648995,0.0646251639607978,204
205,0.188241288267733,0.17666473357388,0.13746197993985,204
206,0.0385631436869798,0.124768811945011,-0.00745267415410692,204
207,0.0300842289154602,0.0128555636808696,0.00845162591252165,204
208,0.0476805712648894,-0.130701538556166,0.0895036712497901,204
209,0.0906562903482791,0.0800610829478021,-0.0198223929229028,204
210,-0.00351492328048522,-0.0241843025175502,0.0354733286554942,204
211,-0.112306987655522,-0.0488535181610615,-0.071074247616131,204
212,0.0838704695726271,0.106421157265637,0.014352227656058,204
213,0.0649230742168227,-0.0410894151577549,0.105312905918759,204
214,0.0630365130725329,0.0640774804499848,-0.02473774767572,204
215,0.114159300937156,0.0684799733071435,0.0145154193073257,204
216,-0.0204784404420586,0.011731308170109,-0.0121106622389798,204
