"iteration","overall_ACC","alerting_ACC","orienting_ACC","congruency_ACC","n"
1,0.793326469212139,0.313280253060905,0.106016960588663,0.472520123841355,226
2,0.803486178318854,0.190685725491802,0.198490406081791,0.405554185353798,226
3,0.800328640166188,0.460970294609756,0.230106474655007,0.481830008846924,226
4,0.863690705198798,0.397239228357272,0.286609040422087,0.400352022882048,226
5,0.847698038987595,0.412607650794895,0.148212823918061,0.461005366370072,226
6,0.823581739772412,0.255269864815918,0.219026412610601,0.509067761309534,226
7,0.835338231652509,0.262128163662561,0.229505379514368,0.419740126086681,226
8,0.806750672532065,0.391209469671589,0.181204600407531,0.382064785640768,226
9,0.876902877375963,0.358361869124996,0.193119726967475,0.378861560063054,226
10,0.846983165713293,0.290981960776783,0.208276579167158,0.58577934125628,226
11,0.840924190085569,0.333289568827836,0.191484609632014,0.482644367427895,226
12,0.839650894970737,0.31662948728562,0.0011129528347539,0.515434908880081,226
13,0.796607804532035,0.293348228504442,0.143126073806046,0.438632629068918,226
14,0.873946921463527,0.24853316223632,0.236340815978342,0.478404258796888,226
15,0.864783593771082,0.336286554783701,0.132879845104313,0.565974698208628,226
16,0.840446104394933,0.366372763268351,0.274789021482637,0.356799587866556,226
17,0.780727465209636,0.304911027202852,0.179060658576986,0.427570166012554,226
18,0.768073098027187,0.352479533096891,0.0132328585092717,0.414086733221172,226
19,0.844704450417901,0.409731055121582,0.0705474378301516,0.419497470896974,226
20,0.819202145995997,0.343610398434774,0.0638864604042572,0.426219642189307,226
21,0.812360118466008,0.36800685344671,0.191082508268919,0.442846010720914,226
22,0.828954785060082,0.387679035413277,0.193835167757541,0.472792007894573,226
23,0.849434071260386,0.329998271589711,0.193451725091479,0.410407546629565,226
24,0.839559965201718,0.32044911598027,0.0630764118399238,0.37869252373154,226
25,0.813270337042588,0.344779279249965,0.199783735149898,0.454175526016426,226
26,0.830346175152986,0.342346561068371,0.151186278620919,0.523234512828798,226
27,0.831301262381825,0.384679534511561,0.230386752658367,0.443560433490668,226
28,0.818849442231241,0.329460965249853,0.200223809290324,0.543623860337628,226
29,0.846142153896551,0.385469902075078,0.147814079717393,0.408655764452479,226
30,0.830574713330117,0.532478461191869,0.195182878504524,0.428677846682385,226
31,0.817235896445536,0.271017954220693,0.0314706202314839,0.288263619238784,226
32,0.828013652791819,0.296811202513087,0.0861065139140884,0.434047236024368,226
33,0.831001584145241,0.368017120323443,0.0265151493323045,0.476174517378679,226
34,0.802624948945991,0.262557448419255,0.134917545287908,0.344700759826998,226
35,0.837424773017732,0.295225111455828,0.186182932899391,0.418301920000764,226
36,0.823351951340273,0.127029328648118,0.222282341618871,0.341507346080742,226
37,0.826202212485805,0.447177281851826,0.140997999983581,0.478915447672823,226
38,0.804366748529875,0.403799021338432,0.0557348360354146,0.412793819316369,226
39,0.826962332772423,0.40145138118239,0.0883198850111637,0.443578827783606,226
40,0.798962850393771,0.430399209297534,0.150728551929369,0.465354602612221,226
41,0.853556688765041,0.445170526054982,0.166897958129798,0.486638486508372,226
42,0.863272987458444,0.25300185599734,0.186935006440259,0.426004012874273,226
43,0.850657074739028,0.467759626857398,0.12210991635257,0.402227014660457,226
44,0.879449762943908,0.283978238165683,0.0434029330471787,0.356864916856868,226
45,0.789447508855901,0.261613519929854,0.186844188878221,0.352923675408835,226
46,0.819052270753874,0.350087113888355,0.225626549249391,0.498408499463948,226
47,0.816779267295145,0.279292334691143,0.187160603432131,0.414774680454593,226
48,0.838345535882247,0.248158454359365,0.191691739845951,0.268893344403229,226
49,0.856399801137731,0.320109960172943,0.0631235112357538,0.50479707388438,226
50,0.825605793659255,0.386697255021344,0.078549779599301,0.446692436523784,226
51,0.861805223581355,0.208032675506538,0.195361072471206,0.478819829779257,226
52,0.829038086333065,0.292243537374947,0.194234463119804,0.448918016014872,226
53,0.802028408221356,0.439990609922854,0.0560368486355891,0.310262698260589,226
54,0.798253856342429,0.347492681320024,0.0738219594510804,0.349234639649225,226
55,0.851405361689958,0.398030523697016,0.0917157839041134,0.309832997417134,226
56,0.855080306845165,0.353400130582519,0.0850606682067283,0.424394957477754,226
57,0.844192377161,0.339745562018573,0.110957035726994,0.369613451911141,226
58,0.805359382003593,0.374378972912924,-0.0185966182506585,0.418414241649746,226
59,0.854354171442514,0.299212836620387,0.174746337339141,0.443369646198233,226
60,0.828454235131369,0.302581908565113,0.160877428866935,0.501774172967013,226
61,0.826748590660317,0.356042236543743,0.267039191260705,0.230088992527415,226
62,0.773029191796978,0.288188174285748,0.186822785026377,0.42795270004546,226
63,0.857590573741787,0.354238817547097,0.213152345361591,0.328054813210373,226
64,0.832054102404371,0.164155004467948,0.0996644387561074,0.400419187213063,226
65,0.874658394592121,0.288499085983924,0.174262236885468,0.413754316438026,226
66,0.829695774328414,0.313340958010941,0.211013668087826,0.349509018813155,226
67,0.874353765271138,0.37746023001868,0.250283337045505,0.441969070680956,226
68,0.866498218866862,0.334144271960428,0.188342668156815,0.505290145961745,226
69,0.823250593357749,0.46562540156351,0.197009216329828,0.367002905562876,226
70,0.838137383950206,0.346672098330796,0.201057215552435,0.555751136718037,226
71,0.858008573669674,0.410160351944968,0.145067835385902,0.439272939361934,226
72,0.814288886496036,0.24467619215677,0.0919292819595712,0.316305205048182,226
73,0.866649602596523,0.516349836231182,0.0363923267986779,0.374498450576921,226
74,0.790631006234157,0.429914129751119,0.327862455223861,0.367220038598916,226
75,0.822316317578296,0.2724902485759,0.128066234158841,0.529468438471911,226
76,0.81879743072034,0.36421596755279,0.293493805126734,0.434229754673141,226
77,0.809180677889607,0.419027371860323,0.190215891218107,0.440927780529797,226
78,0.8511064907265,0.395917385630765,0.220656014123433,0.47116825209658,226
79,0.852794382820528,0.386903544363618,0.0773541229957745,0.37634989355627,226
80,0.815871585243422,0.328349577294458,0.14152411222802,0.44402045867045,226
81,0.801033215494085,0.301024118849216,0.0504239809792556,0.510259800955113,226
82,0.849205409727409,0.417780177572794,0.211443681468874,0.491165784539299,226
83,0.795021551726671,0.299372514413068,0.265143403510325,0.273004711280527,226
84,0.826655253097004,0.171486805432033,0.196408869058868,0.430512949176079,226
85,0.886253202078795,0.302556697412887,0.234819393253619,0.418388521323511,226
86,0.78945935155017,0.369216525525513,0.011174375082988,0.404727172467606,226
87,0.847096367942293,0.418191943835608,0.27100621682344,0.457074095883414,226
88,0.828396010436172,0.384355508711231,0.169682860283057,0.493091068746501,226
89,0.796713986447059,0.258170977257225,0.221277692418757,0.511539987793949,226
90,0.846784889269367,0.484881500764264,-0.0335377384704093,0.379710091425016,226
91,0.849459661190032,0.182289296015203,0.131487451407787,0.488794674328688,226
92,0.768085692182639,0.212458687759748,0.0750315276437247,0.417030962260894,226
93,0.841240821335392,0.432310523701455,0.262143946247923,0.369195883523089,226
94,0.843803528642177,0.485896036154989,0.361664619858207,0.40249038455407,226
95,0.741557849410078,0.31985646293141,0.0882464389490432,0.441880431889364,226
96,0.841806142155336,0.433760690000487,0.253137443514045,0.470047967214943,226
97,0.840752324253053,0.363652414699102,0.112684484564652,0.366730282817375,226
98,0.814554218191465,0.483008147177872,0.141114183085431,0.446254433437622,226
99,0.766879939789147,0.384288288918621,0.0925288911432671,0.524719676440968,226
100,0.83899491628251,0.37260504320207,0.107815308620937,0.468106832933086,226
101,0.860430188342734,0.40946002663838,0.167775711698675,0.381169995180195,226
102,0.873101552660998,0.362202373499627,0.0641772710345759,0.476656088223712,226
103,0.823070905690782,0.334602330333643,0.0800129123556279,0.426295132422776,226
104,0.848807163042759,0.290623975439706,0.100701166936804,0.381700261741839,226
105,0.782654020766685,0.30302623683237,0.239415205739685,0.465603748566522,226
106,0.812894999534692,0.321654864253274,0.118592188701162,0.420006395562823,226
107,0.855193975678153,0.357089442054245,0.137307067170646,0.319144149684523,226
108,0.8011339494909,0.28214271020121,0.136867176100796,0.513277685246395,226
109,0.822273553060689,0.296460482279152,0.237118647897133,0.407370499044054,226
110,0.826088566115478,0.240081848646263,0.331356959488864,0.456311242591776,226
111,0.850360395863306,0.351912543617638,0.102698726122471,0.408069689558107,226
112,0.845316857132708,0.505899746760995,0.177954467650016,0.310090835599683,226
113,0.855841625749809,0.208024505513399,0.0780747820158011,0.407261333379777,226
114,0.793849199052971,0.257713379948677,0.0923917063600324,0.366679918694199,226
115,0.805500862077048,0.303020301728127,0.0509110476569465,0.432891039607705,226
116,0.848923800667694,0.436805379102665,0.189401886347847,0.400983076478493,226
117,0.84427984241592,0.349414789943151,0.170311743462303,0.453316427137171,226
118,0.811106504513137,0.287380580711493,0.127991988522528,0.360299377652217,226
119,0.797103331895784,0.32012227806286,0.11712666459305,0.436622045085593,226
120,0.845976121786158,0.27817053740378,0.0181101956652965,0.42235407193806,226
121,0.820839005479066,0.402861927592704,0.14668550393346,0.360307800128346,226
122,0.831425194909156,0.361985307453015,0.221439893009638,0.474570915646926,226
123,0.86980524740897,0.422354402906238,0.0973389385155098,0.25017943040217,226
124,0.797598133964521,0.390423551823956,0.188406435855678,0.379045445328533,226
125,0.83572437330449,0.395049094160151,0.220200975283591,0.412231104865668,226
126,0.843026830805448,0.352128533989156,0.153789010659721,0.41941813550589,226
127,0.828905759702101,0.226670640351216,0.210094221196497,0.383468824211363,226
128,0.820448911113059,0.426201982608219,0.19945723057489,0.424463580423691,226
129,0.869302260507161,0.369346293868962,0.187377259203545,0.273837676158158,226
130,0.832806263814125,0.28576892235308,0.181222051698538,0.469922279277956,226
131,0.823354074208389,0.360727776379867,0.195144422393525,0.442508567943851,226
132,0.826833193040014,0.361224930568877,0.179562904211549,0.42356175285839,226
133,0.839381585967458,0.371330212271774,0.037017919992251,0.485387075835713,226
134,0.822771783597547,0.354843009398626,0.130478379278417,0.440436067771954,226
135,0.811223496259795,0.340617164412445,0.110686585117324,0.408478185994359,226
136,0.845400489717822,0.260294022754378,0.0397042854020713,0.502871581157024,226
137,0.835429066547248,0.207305796061949,0.0509463476142394,0.385448810379059,226
138,0.819565449802924,0.331773895674582,0.144488749861426,0.406224560868801,226
139,0.871568119056715,0.27468545844639,0.212488752984282,0.350861667718538,226
140,0.803820777049858,0.441499633120022,0.162023930229034,0.289220730404593,226
141,0.830318565064883,0.39566257289935,0.336261457399992,0.36668924887246,226
142,0.802280829983727,0.319283103149207,0.175452954851835,0.460806690022194,226
143,0.796859031689447,0.350761341080465,-0.0104842620284134,0.460453363467736,226
144,0.853237920463345,0.457618590735835,0.274850084757652,0.376917180164201,226
145,0.825467477920296,0.267273531490564,-0.0517637169557289,0.466804084581656,226
146,0.822785361020247,0.406523028485869,0.117538509861784,0.371950906981236,226
147,0.788320434635675,0.406950831130564,0.124122132722465,0.424967948033185,226
148,0.826226151498518,0.36967955360793,0.167715139256638,0.277768171463386,226
149,0.805538823625224,0.471805336891815,0.106852914058274,0.320642766934702,226
150,0.840222197756597,0.304193536889877,0.0868733849840832,0.521059159001114,226
151,0.837108768035593,0.355100427831599,0.110480293895412,0.390662335271125,226
152,0.844334524755372,0.34838250233927,0.241541403320132,0.30477464604611,226
153,0.78381708817225,0.17881631190696,0.238612679418792,0.371658565198075,226
154,0.842152475602569,0.339855985776116,0.198042810627569,0.45218682550461,226
155,0.871280343712508,0.385416391051987,0.121159881798207,0.297381068300273,226
156,0.826868855192943,0.331811448512114,0.12005970121355,0.417213074920829,226
157,0.813770466942675,0.238187223940007,0.272074624209573,0.452597855185915,226
158,0.807050431663003,0.446117660847694,0.0419429304542624,0.401301168234133,226
159,0.833772077830856,0.240208176542121,0.120099969308496,0.371556671778555,226
160,0.830154568329492,0.311904547384888,0.155003289304429,0.329161367617422,226
161,0.846670041086902,0.415277223035066,0.145837045231347,0.451515670925054,226
162,0.848280816775819,0.231711200809048,0.0994631827965651,0.450228706473294,226
163,0.817408503141949,0.410755855895379,0.0360144861570295,0.386645834220655,226
164,0.806283188035634,0.31276803910593,0.07991403702386,0.377981069089702,226
165,0.875967840985794,0.41752851136167,0.183047045505608,0.460544250350534,226
166,0.783564576244718,0.377188155680214,0.0958509270856411,0.458190835821247,226
167,0.850053320809783,0.296826800195877,0.0996776669643615,0.286019369487602,226
168,0.839609065854196,0.443803257936476,0.362624706340542,0.400394269432041,226
169,0.771843318928166,0.346213291541816,0.0443329217391767,0.405872188490469,226
170,0.842103100264813,0.184478151064155,0.00261701277835482,0.384745156521737,226
171,0.828216436059063,0.512334984358935,0.302002934776733,0.414386092369859,226
172,0.844026137482968,0.244836364715384,0.0955815722469403,0.399946592605676,226
173,0.88040927751056,0.374096406320051,0.169168668740053,0.240716399060357,226
174,0.82662572900397,0.306974839823002,0.169568296328437,0.412280271752699,226
175,0.845735495260354,0.223093235019316,0.148373365543016,0.584641168782537,226
176,0.80459356217583,0.339324588956834,0.131524602263464,0.383925563580781,226
177,0.826354011568991,0.329014939098616,0.136602292749029,0.505252597540448,226
178,0.779576097320752,0.258374087772991,0.183800627867458,0.42608780150375,226
179,0.848307444470156,0.29290589957345,0.0830737264851871,0.37059240429126,226
180,0.868830667381049,0.423718162177619,0.123974160132971,0.486964922578327,226
181,0.842697095931373,0.434063300592087,0.210558451224905,0.304874353255125,226
182,0.829922955426994,0.353668228473365,0.0797948144575572,0.417700588795047,226
183,0.79921301760214,0.341359993205993,0.159652819538826,0.398472824340818,226
184,0.802409157885054,0.375372505326769,-0.0181477190006255,0.437399964021261,226
185,0.86562704597077,0.415841166570109,0.19596236357683,0.497659860808171,226
186,0.863615034732875,0.325346160950354,0.111148262016174,0.444580508314737,226
187,0.809318743008457,0.196754960355087,0.270924743973669,0.433990476029529,226
188,0.81144346222687,0.356162032634788,0.0903196415108356,0.37851715383455,226
189,0.853325155616806,0.399759198946713,0.24233164851342,0.365260990521644,226
190,0.888593787774537,0.476928619483636,0.283991252430495,0.439396005276427,226
191,0.85325454255022,0.3880589784965,0.0973718448171976,0.389805276769379,226
192,0.859764569299587,0.292833992510454,0.111080435797071,0.471323107543341,226
193,0.859245011790015,0.421063002721095,0.217743731246934,0.40349994644543,226
194,0.801295337063858,0.336859429310736,0.195361072471206,0.372873750466292,226
195,0.750626625604322,0.266835285478124,0.165397238700943,0.305599180419344,226
196,0.81707571013853,0.255319699347405,0.189867325054677,0.439095415289131,226
197,0.811017673891495,0.311746825698618,0.0660324611537661,0.552933471680183,226
198,0.817509641610879,0.316395122153448,0.212309254669669,0.492342843237425,226
199,0.816396288414701,0.2512006198717,0.0736146898271354,0.55020014952368,226
200,0.82487276835834,0.419782092673977,0.107564760930804,0.33002003346786,226
201,0.836176155886865,0.329498133936559,0.153319321381731,0.413452456862796,226
202,0.766109261565397,0.331530338223909,0.16156441390842,0.419039521953432,226
203,0.775442376508325,0.320927241832364,0.195764285212536,0.442923514311108,226
204,0.843445271511736,0.386094208964303,0.206643462832945,0.467173462025932,226
205,0.806887845395873,0.263272124438179,0.0558555175257828,0.35339873187671,226
206,0.818083915329839,0.37161168740333,0.134643717910344,0.449565200049864,226
207,0.817057665946929,0.360819811667841,0.275516193938311,0.355488825566415,226
208,0.852898569186755,0.283228999477559,0.0525730628131793,0.452630886598017,226
209,0.831873553056229,0.320385978543442,0.132961892191256,0.469371800865206,226
210,0.833838854659127,0.166323647120083,0.345237160571773,0.563281090550219,226
211,0.84340684899887,0.336920168854544,0.148110251629625,0.335375794604877,226
212,0.820715014472544,0.342057468703877,0.122859476035296,0.53976345387193,226
213,0.853089717874197,0.278164181918102,0.143193359008888,0.460077271239915,226
214,0.833002992416966,0.324797581771164,0.156025004681383,0.43651389330176,226
215,0.846642592716291,0.350946165687262,0.00858633213684008,0.510907628176711,226
216,0.856351768284138,0.22335727374513,0.127248283818873,0.464386625120138,226
217,0.80464033639883,0.339409894686279,0.0861578501661051,0.401855331859811,226
218,0.837802473910146,0.36232181288617,0.102677683558595,0.40036446796849,226
219,0.840218768803745,0.349533883386473,0.19718859430599,0.427582867380126,226
220,0.82232687487152,0.354880721265922,0.131178595681628,0.460770958848962,226
221,0.791516432549102,0.333097775679617,0.0987532531101275,0.379331499536901,226
222,0.849069868806087,0.380698789330754,0.125213899058482,0.377101711383026,226
223,0.829397634449799,0.307654845844635,0.220334568379919,0.325814239549876,226
224,0.828874127893803,0.386447706920202,0.225158801159547,0.484700879530553,226
225,0.804736603020376,0.377027078089971,0.145189410097168,0.540082220574452,226
226,0.877316114586567,0.328038082916163,0.173228433993526,0.452865286837995,226
227,0.826136997883515,0.27932404967231,0.0904289771795932,0.352759867285484,226
228,0.863073423500741,0.336721459185398,0.0549963109742923,0.527476509213108,226
229,0.810879515096853,0.235952585243251,0.323723572993274,0.424322300743142,226
230,0.818667735960602,0.286500231824855,0.143688174936995,0.421565154591431,226
231,0.78690675643437,0.345385307559733,0.274017554163996,0.437175570474398,226
232,0.843506496524681,0.341167525762673,0.26283287731141,0.530989015256542,226
233,0.826238892146261,0.247199347303904,0.162410734305861,0.356742276267852,226
234,0.862345494559529,0.307604207491331,0.149636170215429,0.491351915666156,226
235,0.836551581903685,0.320778163219097,0.169370971448351,0.405163263392067,226
236,0.805607140875618,0.352356178550659,0.149467716451277,0.428576544407702,226
237,0.815689320461197,0.307629503261297,0.30645949569626,0.486725590136122,226
238,0.817749368455395,0.290211085273174,0.266872831808608,0.409099769106768,226
239,0.861713911120975,0.405105281829729,0.238145117699795,0.368256876502273,226
240,0.821151455889849,0.430896775001386,0.0457703276083675,0.57378694095762,226
241,0.777614493719655,0.243280209872596,0.138006122982151,0.48457899542838,226
242,0.876211207152775,0.38754874571357,0.130294467317298,0.388810026243554,226
243,0.817338761628585,0.354152234749624,0.180720106566157,0.424552779853306,226
244,0.845371608056984,0.426673181599914,0.22265770434248,0.431419788228611,226
245,0.840757083351854,0.336030285123142,0.185513225989093,0.212378346352092,226
246,0.84207386115567,0.417085511167201,0.0790465668380756,0.489060031755153,226
