"iteration","AV_RT","AV_RT_Slope","AV_SD","AV_SD_Slope","AV_Lapsus","AV_Lapsus_Slope","n"
1,0.923609372443547,0.567816464563988,0.772156869465325,0.454710565971273,0.877991930263748,0.678294150531193,226
2,0.931476661513771,0.710006307706244,0.786054391654459,0.378173407734975,0.920370913018201,0.681538163342048,226
3,0.933586527501827,0.670611604525372,0.755937675097909,0.358085715872039,0.893199489965492,0.634724919296695,226
4,0.92614706964471,0.62531313867861,0.785516043364425,0.433788701606381,0.899748361315845,0.557028534999222,226
5,0.92971644539822,0.594503841634496,0.760450002715456,0.330262488998311,0.932585608309909,0.625658646153146,226
6,0.924503633632955,0.717177643329444,0.766035773281361,0.486486727918212,0.867767063478785,0.653055651957859,226
7,0.924883231608575,0.644445816427955,0.740767678955554,0.263264140724764,0.891443307816218,0.599641157612442,226
8,0.939915885758345,0.620255311024054,0.802801393629626,0.312318913558948,0.938113495783136,0.642311006188553,226
9,0.92279019289407,0.614251915618954,0.782478423026158,0.454854878998464,0.90378940180504,0.714881898042653,226
10,0.923378166935795,0.592386693479509,0.729237667471411,0.312340775378701,0.93520933249809,0.641268616281931,226
11,0.917835574575454,0.626490069272356,0.750019590495259,0.338765724298082,0.897330632539358,0.693552161569911,226
12,0.944176209295701,0.681199703050861,0.790230923382409,0.444978121166173,0.913884009630171,0.645607194206971,226
13,0.926309460393368,0.557466779634145,0.8016086320079,0.462082538321323,0.92061630043587,0.67412202753414,226
14,0.935906228148584,0.536582728537736,0.780195427965635,0.247785370830078,0.921207080714459,0.628727421254697,226
15,0.93528685035676,0.638526265887129,0.793443973988476,0.449420864480423,0.921536688079692,0.617160382114034,226
16,0.892300824066512,0.547429398591668,0.760226939910208,0.19674516509221,0.892179929145488,0.685825741426326,226
17,0.935149178505394,0.560265488420094,0.695635370259431,0.345629248231637,0.9120480974098,0.68781915216574,226
18,0.935769647832975,0.530652478938074,0.784537518113923,0.363542604557231,0.938065157690935,0.503710049021886,226
19,0.935540152993402,0.620733224253855,0.797980626674083,0.36340001771703,0.897972389190366,0.615166078712775,226
20,0.94814189135873,0.583979805118561,0.809453926577212,0.398558876607674,0.92779533306549,0.562574927823496,226
21,0.924509062279556,0.578534080589368,0.782950239286621,0.401166998680092,0.88659054845955,0.685936793271197,226
22,0.916101144984738,0.444838101352239,0.779845106499576,0.218604466728076,0.915736731083017,0.608509845464207,226
23,0.952381522464966,0.599553985080213,0.753836784575193,0.541004285303056,0.9226109102179,0.6466309388005,226
24,0.933852452652762,0.584217791937895,0.809564150417985,0.480487561341722,0.912734418851457,0.681667676772429,226
25,0.933637729372788,0.543811505004447,0.752071128209208,0.451698964157849,0.938887363331225,0.6915589785511,226
26,0.914595106232465,0.606109855957302,0.813630924195797,0.437607452439588,0.935145133094677,0.608040871341849,226
27,0.934311971496364,0.480883578211463,0.748346264931007,0.523159829189079,0.923288990535257,0.701486113251359,226
28,0.939167564246858,0.632429777056724,0.742596701566487,0.313334736046128,0.906460042923509,0.676689371578507,226
29,0.952571572752183,0.640264525255316,0.831889121661594,0.414234618068811,0.924313915980874,0.648974689092935,226
30,0.939219786718732,0.663083299714658,0.750472231951931,0.17876065293324,0.906113862739962,0.66627238709075,226
31,0.93450543478783,0.611023701131673,0.726148011720993,0.373005379538865,0.916493702080435,0.710322280644009,226
32,0.946972563709245,0.674859017065768,0.80448240529973,0.36723846384443,0.923329902083495,0.706944773853628,226
33,0.931700639570663,0.620342732652583,0.821461110111611,0.327300391488389,0.919597977738239,0.644421307981308,226
34,0.90722969334235,0.53361091480388,0.72518029121664,0.493280900105451,0.923031827103476,0.601326549674496,226
35,0.947856777041951,0.672127439285336,0.694893196199621,0.423491960494038,0.919843284888867,0.640271250032085,226
36,0.948648637927947,0.690471643887693,0.779281028974853,0.495174304301005,0.927906409512701,0.628245343202546,226
37,0.929586932904103,0.476376151222641,0.791328461593347,0.287933634005016,0.934059105250787,0.610050303185131,226
38,0.933256171108996,0.629270688893134,0.732059623667449,0.393142935155738,0.923368823325011,0.629584201682831,226
39,0.943549871791713,0.632293257738779,0.756055274048071,0.283120113126761,0.918538735998808,0.627728599649033,226
40,0.920902979420769,0.610197052969301,0.770012588504301,0.449069497626868,0.901432943163657,0.644992743278439,226
41,0.927811148580078,0.670042678454331,0.796262724912939,0.249010155485897,0.917866020357724,0.612377626544401,226
42,0.949153523574937,0.639212800503875,0.795811190648535,0.395832445584737,0.938532151621226,0.626507524478108,226
43,0.932207016121662,0.620471385808738,0.80441087464722,0.296592823148678,0.907596169471281,0.665531428207163,226
44,0.957599093365388,0.597473619191797,0.782934153134495,0.351930548090773,0.935669144590498,0.582909943738228,226
45,0.95152675861833,0.662746462097981,0.836792370559119,0.373051141891372,0.921783881601541,0.660424447552521,226
46,0.953988643133719,0.649605683359852,0.8288801776442,0.381800661780206,0.930501095044726,0.693974872885533,226
47,0.912007655518111,0.563243499723251,0.728810168601645,0.271194906806265,0.934563479904573,0.609942897310643,226
48,0.932579437715969,0.696664168614665,0.789467832689387,0.422464781998248,0.916821518008101,0.63769318986449,226
49,0.951198657434063,0.5174626356932,0.791823556972778,0.403137705987736,0.940438400121114,0.654105562833822,226
50,0.937782311455806,0.554612368589885,0.796275745222522,0.274452531209038,0.902618569915408,0.671674541630404,226
51,0.943606559756576,0.564089507806364,0.816727911924891,0.293143059492202,0.917361845099394,0.67516025892531,226
52,0.929479668804909,0.536508554583828,0.788209330701461,0.423376639895452,0.925692330637663,0.691777535059597,226
53,0.94474174302145,0.616873094474547,0.817014339265322,0.479099657117964,0.916279406066365,0.540859714981375,226
54,0.935018937809138,0.653688379961814,0.766297404674099,0.36507172988262,0.937738140807007,0.660312345599795,226
55,0.935747348231644,0.549158918146027,0.808089981987506,0.266369450021106,0.938356859870366,0.535825551256668,226
